LU全て
|   year |   Count |   Cumulative Sum |   Percentage (%) |
| filial.a                     |       1 |            28130 |            97.2  |
| figure out.v                 |       1 |            28131 |            97.2  |
| fiefdom.n                    |       1 |            28132 |            97.2  |
| feverishly.adv               |       1 |            28133 |            97.21 |
| farm.v                       |       1 |            28134 |            97.21 |
| fester.v                     |       1 |            28135 |            97.22 |
| fellow.n                     |       1 |            28136 |            97.22 |
| feelings.n                   |       1 |            28137 |            97.22 |
| fed up.a                     |       1 |            28138 |            97.23 |
| feature.v                    |       1 |            28139 |            97.23 |
| feast.n                      |       1 |            28140 |            97.23 |
| fault.n                      |       1 |            28141 |            97.24 |
| fathom.v                     |       1 |            28142 |            97.24 |
| fatal.a                      |       1 |            28143 |            97.24 |
| fasten.v                     |       1 |            28144 |            97.25 |
| fashion.n                    |       1 |            28145 |            97.25 |
| farmer.n                     |       1 |            28146 |            97.25 |
| estimation.n                 |       1 |            28147 |            97.26 |
| equal.v                      |       1 |            28148 |            97.26 |
| divorce.n                    |       1 |            28149 |            97.26 |
| envelop.v                    |       1 |            28150 |            97.27 |
| ease.v                       |       1 |            28151 |            97.27 |
| earnings.n                   |       1 |            28152 |            97.27 |
| dwelling.n                   |       1 |            28153 |            97.28 |
| dust-up.n                    |       1 |            28154 |            97.28 |
| dump.v                       |       1 |            28155 |            97.28 |
| dubious.a                    |       1 |            28156 |            97.29 |
| dry.a                        |       1 |            28157 |            97.29 |
| dry up.v                     |       1 |            28158 |            97.29 |
| drown.v                      |       1 |            28159 |            97.3  |
| driveway.n                   |       1 |            28160 |            97.3  |
| drink.v                      |       1 |            28161 |            97.3  |
| drift.v                      |       1 |            28162 |            97.31 |
| dressed.a                    |       1 |            28163 |            97.31 |
| dress.n                      |       1 |            28164 |            97.32 |
| draw.n                       |       1 |            28165 |            97.32 |
| drain.v                      |       1 |            28166 |            97.32 |
| draft.n                      |       1 |            28167 |            97.33 |
| downtown.n                   |       1 |            28168 |            97.33 |
| doubtful.a                   |       1 |            28169 |            97.33 |
| doubt.v                      |       1 |            28170 |            97.34 |
| double.v                     |       1 |            28171 |            97.34 |
| double agent.n               |       1 |            28172 |            97.34 |
| done.a                       |       1 |            28173 |            97.35 |
| donate.v                     |       1 |            28174 |            97.35 |
| domination.n                 |       1 |            28175 |            97.35 |
| dominant.a                   |       1 |            28176 |            97.36 |
| doing.n                      |       1 |            28177 |            97.36 |
| edge.v                       |       1 |            28178 |            97.36 |
| edition.n                    |       1 |            28179 |            97.37 |
| educate.v                    |       1 |            28180 |            97.37 |
| enforce.v                    |       1 |            28181 |            97.37 |
| entity.n                     |       1 |            28182 |            97.38 |
| entitled.a                   |       1 |            28183 |            97.38 |
| entice.v                     |       1 |            28184 |            97.38 |
| enthralling.a                |       1 |            28185 |            97.39 |
| entanglement.n               |       1 |            28186 |            97.39 |
| enraged.a                    |       1 |            28187 |            97.39 |
| enough.n                     |       1 |            28188 |            97.4  |
| enlist.v                     |       1 |            28189 |            97.4  |
| enlarge.v                    |       1 |            28190 |            97.41 |
| englishwoman.n               |       1 |            28191 |            97.41 |
| engineer.n                   |       1 |            28192 |            97.41 |
| enforcement.n                |       1 |            28193 |            97.42 |
| enduring.a                   |       1 |            28194 |            97.42 |
| effect.v                     |       1 |            28195 |            97.42 |
| endorse.v                    |       1 |            28196 |            97.43 |
| endeavor.n                   |       1 |            28197 |            97.43 |
| employer.n                   |       1 |            28198 |            97.43 |
| employed.a                   |       1 |            28199 |            97.44 |
| emplace.v                    |       1 |            28200 |            97.44 |
| embroiled.a                  |       1 |            28201 |            97.44 |
| embark.v                     |       1 |            28202 |            97.45 |
| elicit.v                     |       1 |            28203 |            97.45 |
| elderly.a                    |       1 |            28204 |            97.45 |
| elbow.n                      |       1 |            28205 |            97.46 |
| eject.v                      |       1 |            28206 |            97.46 |
| effects.n                    |       1 |            28207 |            97.46 |
| connection.n                 |       1 |            28208 |            97.47 |
| congratulate.v               |       1 |            28209 |            97.47 |
| confuse.v                    |       1 |            28210 |            97.47 |
| antenna.n                    |       1 |            28211 |            97.48 |
| auditorium.n                 |       1 |            28212 |            97.48 |
| audaciousness.n              |       1 |            28213 |            97.48 |
| auction.n                    |       1 |            28214 |            97.49 |
| attic.n                      |       1 |            28215 |            97.49 |
| attacker.n                   |       1 |            28216 |            97.49 |
| attached.a                   |       1 |            28217 |            97.5  |
| attach.v                     |       1 |            28218 |            97.5  |
| atomic weapon.n              |       1 |            28219 |            97.51 |
| atoll.n                      |       1 |            28220 |            97.51 |
| at most.adv                  |       1 |            28221 |            97.51 |
| astuteness.n                 |       1 |            28222 |            97.52 |
| astride.prep                 |       1 |            28223 |            97.52 |
| assured.a                    |       1 |            28224 |            97.52 |
| assume.v                     |       1 |            28225 |            97.53 |
| assets.n                     |       1 |            28226 |            97.53 |
| ascent.n                     |       1 |            28227 |            97.53 |
| as.prep                      |       1 |            28228 |            97.54 |
| as yet.adv                   |       1 |            28229 |            97.54 |
| as of yet.adv                |       1 |            28230 |            97.54 |
| artificial.a                 |       1 |            28231 |            97.55 |
| articulate.v                 |       1 |            28232 |            97.55 |
| arsonist.n                   |       1 |            28233 |            97.55 |
| array.n                      |       1 |            28234 |            97.56 |
| arraign.v                    |       1 |            28235 |            97.56 |
| arouse.v                     |       1 |            28236 |            97.56 |
| apprehend.v                  |       1 |            28237 |            97.57 |
| appreciative.a               |       1 |            28238 |            97.57 |
| aunt.n                       |       1 |            28239 |            97.57 |
| authoritarian.a              |       1 |            28240 |            97.58 |
| authorize.v                  |       1 |            28241 |            97.58 |
| barbaric.a                   |       1 |            28242 |            97.58 |
| belittle.v                   |       1 |            28243 |            97.59 |
| belated.a                    |       1 |            28244 |            97.59 |
| behind bars.adv              |       1 |            28245 |            97.6  |
| beginner.n                   |       1 |            28246 |            97.6  |
| beg.v                        |       1 |            28247 |            97.6  |
| beforehand.adv               |       1 |            28248 |            97.61 |
| befall.v                     |       1 |            28249 |            97.61 |
| bedroom.n                    |       1 |            28250 |            97.61 |
| be supposed (to).v           |       1 |            28251 |            97.62 |
| bathroom.n                   |       1 |            28252 |            97.62 |
| basic.a                      |       1 |            28253 |            97.62 |
| barracks.n                   |       1 |            28254 |            97.63 |
| bar.v                        |       1 |            28255 |            97.63 |
| automobile.n                 |       1 |            28256 |            97.63 |
| bank.n                       |       1 |            28257 |            97.64 |
| band.v                       |       1 |            28258 |            97.64 |
| banana.n                     |       1 |            28259 |            97.64 |
| balloon.v                    |       1 |            28260 |            97.65 |
| bake.v                       |       1 |            28261 |            97.65 |
| backwoods.n                  |       1 |            28262 |            97.65 |
| backwater.n                  |       1 |            28263 |            97.66 |
| back out.v                   |       1 |            28264 |            97.66 |
| azure.a                      |       1 |            28265 |            97.66 |
| awaken.v                     |       1 |            28266 |            97.67 |
| await.v                      |       1 |            28267 |            97.67 |
| avenger.n                    |       1 |            28268 |            97.67 |
| anxious.a                    |       1 |            28269 |            97.68 |
| ankle.n                      |       1 |            28270 |            97.68 |
| besiege.v                    |       1 |            28271 |            97.68 |
| anger.n                      |       1 |            28272 |            97.69 |
| acknowledgment.n             |       1 |            28273 |            97.69 |
| accusation.n                 |       1 |            28274 |            97.7  |
| accredited.a                 |       1 |            28275 |            97.7  |
| acclaim.n                    |       1 |            28276 |            97.7  |
| abuse.v                      |       1 |            28277 |            97.71 |
| abuse.n                      |       1 |            28278 |            97.71 |
| abundance.n                  |       1 |            28279 |            97.71 |
| abstraction.n                |       1 |            28280 |            97.72 |
| absorbed.a                   |       1 |            28281 |            97.72 |
| absorb.v                     |       1 |            28282 |            97.72 |
| absence.n                    |       1 |            28283 |            97.73 |
| above-ground.a               |       1 |            28284 |            97.73 |
| abound.v                     |       1 |            28285 |            97.73 |
| abhorrence.n                 |       1 |            28286 |            97.74 |
| abandoned.a                  |       1 |            28287 |            97.74 |
| a lot.adv                    |       1 |            28288 |            97.74 |
| a little.adv                 |       1 |            28289 |            97.75 |
| Turk.n                       |       1 |            28290 |            97.75 |
| September.n                  |       1 |            28291 |            97.75 |
| Scud-C missile.n             |       1 |            28292 |            97.76 |
| Persian.n                    |       1 |            28293 |            97.76 |
| LSD.n                        |       1 |            28294 |            97.76 |
| Iranian.n                    |       1 |            28295 |            97.77 |
| ICBM.n                       |       1 |            28296 |            97.77 |
| Dubliner.n                   |       1 |            28297 |            97.77 |
| Californian.n                |       1 |            28298 |            97.78 |
| April Fool's Day.n           |       1 |            28299 |            97.78 |
| acne.n                       |       1 |            28300 |            97.79 |
| acquainted.a                 |       1 |            28301 |            97.79 |
| acquisitive.a                |       1 |            28302 |            97.79 |
| alarm.n                      |       1 |            28303 |            97.8  |
| anchored.a                   |       1 |            28304 |            97.8  |
| ancestor.n                   |       1 |            28305 |            97.8  |
| analytic.a                   |       1 |            28306 |            97.81 |
| amusing.a                    |       1 |            28307 |            97.81 |
| amigo.n                      |       1 |            28308 |            97.81 |
| amateur.n                    |       1 |            28309 |            97.82 |
| alternative.n                |       1 |            28310 |            97.82 |
| alleviate.v                  |       1 |            28311 |            97.82 |
| all the time.adv             |       1 |            28312 |            97.83 |
| alcohol.n                    |       1 |            28313 |            97.83 |
| alarming.a                   |       1 |            28314 |            97.83 |
| alarm.v                      |       1 |            28315 |            97.84 |
| aka.a                        |       1 |            28316 |            97.84 |
| acquit.v                     |       1 |            28317 |            97.84 |
| airplane.n                   |       1 |            28318 |            97.85 |
| agreeable.a                  |       1 |            28319 |            97.85 |
| aging.a                      |       1 |            28320 |            97.85 |
| afterwards.adv               |       1 |            28321 |            97.86 |
| afraid.a                     |       1 |            28322 |            97.86 |
| affront.n                    |       1 |            28323 |            97.86 |
| advocate.v                   |       1 |            28324 |            97.87 |
| advancement.n                |       1 |            28325 |            97.87 |
| adolescent.n                 |       1 |            28326 |            97.87 |
| adjustment.n                 |       1 |            28327 |            97.88 |
| adjoining.a                  |       1 |            28328 |            97.88 |
| adherence.n                  |       1 |            28329 |            97.89 |
| bent.a                       |       1 |            28330 |            97.89 |
| bind.v                       |       1 |            28331 |            97.89 |
| conform.v                    |       1 |            28332 |            97.9  |
| certify.v                    |       1 |            28333 |            97.9  |
| coalition.n                  |       1 |            28334 |            97.9  |
| cluster.n                    |       1 |            28335 |            97.91 |
| close.v                      |       1 |            28336 |            97.91 |
| clique.n                     |       1 |            28337 |            97.91 |
| cliff.n                      |       1 |            28338 |            97.92 |
| clearly [with clarity].adv   |       1 |            28339 |            97.92 |
| cleanse.v                    |       1 |            28340 |            97.92 |
| clause.n                     |       1 |            28341 |            97.93 |
| classify.v                   |       1 |            28342 |            97.93 |
| clash.v                      |       1 |            28343 |            97.93 |
| clash.n                      |       1 |            28344 |            97.94 |
| clan.n                       |       1 |            28345 |            97.94 |
| city hall.n                  |       1 |            28346 |            97.94 |
| citadel.n                    |       1 |            28347 |            97.95 |
| circuit.n                    |       1 |            28348 |            97.95 |
| chug.v                       |       1 |            28349 |            97.95 |
| chuckle.v                    |       1 |            28350 |            97.96 |
| chronicle.v                  |       1 |            28351 |            97.96 |
| chronic.a                    |       1 |            28352 |            97.96 |
| chin.n                       |       1 |            28353 |            97.97 |
| chew.v                       |       1 |            28354 |            97.97 |
| chatter.v                    |       1 |            28355 |            97.98 |
| chat.n                       |       1 |            28356 |            97.98 |
| charter.v                    |       1 |            28357 |            97.98 |
| characteristic.n             |       1 |            28358 |            97.99 |
| characteristic.a             |       1 |            28359 |            97.99 |
| changeable.a                 |       1 |            28360 |            97.99 |
| cocaine.n                    |       1 |            28361 |            98    |
| collaborator.n               |       1 |            28362 |            98    |
| colleague.n                  |       1 |            28363 |            98    |
| commonwealth.n               |       1 |            28364 |            98.01 |
| conflicting.a                |       1 |            28365 |            98.01 |
| confiscate.v                 |       1 |            28366 |            98.01 |
| confirmation.n               |       1 |            28367 |            98.02 |
| confess.v                    |       1 |            28368 |            98.02 |
| conduct.n                    |       1 |            28369 |            98.02 |
| concession.n                 |       1 |            28370 |            98.03 |
| concealed.a                  |       1 |            28371 |            98.03 |
| compound.v                   |       1 |            28372 |            98.03 |
| compliance.n                 |       1 |            28373 |            98.04 |
| complex.a                    |       1 |            28374 |            98.04 |
| complaint.n                  |       1 |            28375 |            98.04 |
| competitor.n                 |       1 |            28376 |            98.05 |
| commonplace.a                |       1 |            28377 |            98.05 |
| collect.v                    |       1 |            28378 |            98.05 |
| commissioner.n               |       1 |            28379 |            98.06 |
| commence.v                   |       1 |            28380 |            98.06 |
| command.n                    |       1 |            28381 |            98.07 |
| coming.a                     |       1 |            28382 |            98.07 |
| comfort.n                    |       1 |            28383 |            98.07 |
| come up.v                    |       1 |            28384 |            98.08 |
| come together.v              |       1 |            28385 |            98.08 |
| come off.v                   |       1 |            28386 |            98.08 |
| come (upon).v                |       1 |            28387 |            98.09 |
| comb.v                       |       1 |            28388 |            98.09 |
| colored.a                    |       1 |            28389 |            98.09 |
| colonist.n                   |       1 |            28390 |            98.1  |
| challenging.a                |       1 |            28391 |            98.1  |
| certificate.n                |       1 |            28392 |            98.1  |
| biocompatible.a              |       1 |            28393 |            98.11 |
| certainty.n                  |       1 |            28394 |            98.11 |
| bright.a                     |       1 |            28395 |            98.11 |
| breed.n                      |       1 |            28396 |            98.12 |
| breathtaking.a               |       1 |            28397 |            98.12 |
| breathe.v                    |       1 |            28398 |            98.12 |
| breath.n                     |       1 |            28399 |            98.13 |
| break up.v                   |       1 |            28400 |            98.13 |
| bread.n                      |       1 |            28401 |            98.13 |
| boy.n                        |       1 |            28402 |            98.14 |
| boulevard.n                  |       1 |            28403 |            98.14 |
| bottle.v                     |       1 |            28404 |            98.14 |
| boot.n                       |       1 |            28405 |            98.15 |
| boom.v                       |       1 |            28406 |            98.15 |
| booklet.n                    |       1 |            28407 |            98.15 |
| bonfire.n                    |       1 |            28408 |            98.16 |
| bomb.v                       |       1 |            28409 |            98.16 |
| bolster.v                    |       1 |            28410 |            98.17 |
| boil.v                       |       1 |            28411 |            98.17 |
| blunt.a                      |       1 |            28412 |            98.17 |
| block.n                      |       1 |            28413 |            98.18 |
| blatant.a                    |       1 |            28414 |            98.18 |
| blanketed.a                  |       1 |            28415 |            98.18 |
| blackmail.v                  |       1 |            28416 |            98.19 |
| bitterness.n                 |       1 |            28417 |            98.19 |
| bitter.a                     |       1 |            28418 |            98.19 |
| birthday.n                   |       1 |            28419 |            98.2  |
| birth.n                      |       1 |            28420 |            98.2  |
| bioterrorist.n               |       1 |            28421 |            98.2  |
| brilliant.a                  |       1 |            28422 |            98.21 |
| bronze.n                     |       1 |            28423 |            98.21 |
| brood.v                      |       1 |            28424 |            98.21 |
| captivate.v                  |       1 |            28425 |            98.22 |
| cemetery.n                   |       1 |            28426 |            98.22 |
| celebration.n                |       1 |            28427 |            98.22 |
| caution.n                    |       1 |            28428 |            98.23 |
| causative agent.n            |       1 |            28429 |            98.23 |
| catch on fire.v              |       1 |            28430 |            98.23 |
| catch fire.v                 |       1 |            28431 |            98.24 |
| cascade.v                    |       1 |            28432 |            98.24 |
| carry on.v                   |       1 |            28433 |            98.24 |
| caress.v                     |       1 |            28434 |            98.25 |
| carelessness.n               |       1 |            28435 |            98.25 |
| carefully.adv                |       1 |            28436 |            98.26 |
| care.v                       |       1 |            28437 |            98.26 |
| canyon.n                     |       1 |            28438 |            98.26 |
| brow.n                       |       1 |            28439 |            98.27 |
| campus.n                     |       1 |            28440 |            98.27 |
| camp.n                       |       1 |            28441 |            98.27 |
| calm.a                       |       1 |            28442 |            98.28 |
| calendar year.n              |       1 |            28443 |            98.28 |
| cajole.v                     |       1 |            28444 |            98.28 |
| cabin.n                      |       1 |            28445 |            98.29 |
| cabbage.n                    |       1 |            28446 |            98.29 |
| byway.n                      |       1 |            28447 |            98.29 |
| businessperson.n             |       1 |            28448 |            98.3  |
| bullshit artist.n            |       1 |            28449 |            98.3  |
| bullet.n                     |       1 |            28450 |            98.3  |
| bubble.v                     |       1 |            28451 |            98.31 |
| flight test.v                |       1 |            28452 |            98.31 |
| flood.n                      |       1 |            28453 |            98.31 |
| relevant.a                   |       1 |            28454 |            98.32 |
| outstanding.a                |       1 |            28455 |            98.32 |
| outfit.v                     |       1 |            28456 |            98.32 |
| ouster.n                     |       1 |            28457 |            98.33 |
| oust.v                       |       1 |            28458 |            98.33 |
| ought to.v                   |       1 |            28459 |            98.33 |
| ottoman.a                    |       1 |            28460 |            98.34 |
| ostensibly.adv               |       1 |            28461 |            98.34 |
| orbit.n                      |       1 |            28462 |            98.34 |
| optimistic.a                 |       1 |            28463 |            98.35 |
| opt.v                        |       1 |            28464 |            98.35 |
| opium.n                      |       1 |            28465 |            98.36 |
| open space.a                 |       1 |            28466 |            98.36 |
| ooze.v                       |       1 |            28467 |            98.36 |
| onslaught.n                  |       1 |            28468 |            98.37 |
| ominous.a                    |       1 |            28469 |            98.37 |
| old-fashioned.a              |       1 |            28470 |            98.37 |
| okay.a                       |       1 |            28471 |            98.38 |
| offspring.n                  |       1 |            28472 |            98.38 |
| offshore.a                   |       1 |            28473 |            98.38 |
| offshoot.n                   |       1 |            28474 |            98.39 |
| offense.n                    |       1 |            28475 |            98.39 |
| of a mind.a                  |       1 |            28476 |            98.39 |
| odyssey.n                    |       1 |            28477 |            98.4  |
| odds.n                       |       1 |            28478 |            98.4  |
| ocean.n                      |       1 |            28479 |            98.4  |
| occupy.v                     |       1 |            28480 |            98.41 |
| occupant.n                   |       1 |            28481 |            98.41 |
| obviously.adv                |       1 |            28482 |            98.41 |
| output.n                     |       1 |            28483 |            98.42 |
| overall.n                    |       1 |            28484 |            98.42 |
| flop.v                       |       1 |            28485 |            98.42 |
| overpass.n                   |       1 |            28486 |            98.43 |
| physician.n                  |       1 |            28487 |            98.43 |
| photograph.n                 |       1 |            28488 |            98.43 |
| permission.n                 |       1 |            28489 |            98.44 |
| penthouse.n                  |       1 |            28490 |            98.44 |
| penchant.n                   |       1 |            28491 |            98.45 |
| peer.v                       |       1 |            28492 |            98.45 |
| peep.v                       |       1 |            28493 |            98.45 |
| peel.v                       |       1 |            28494 |            98.46 |
| peculiarity.n                |       1 |            28495 |            98.46 |
| peal.v                       |       1 |            28496 |            98.46 |
| peal.n                       |       1 |            28497 |            98.47 |
| payer.n                      |       1 |            28498 |            98.47 |
| partition.v                  |       1 |            28499 |            98.47 |
| partition.n                  |       1 |            28500 |            98.48 |
| parishioner.n                |       1 |            28501 |            98.48 |
| parental.a                   |       1 |            28502 |            98.48 |
| paramour.n                   |       1 |            28503 |            98.49 |
| parameter.n                  |       1 |            28504 |            98.49 |
| parallel.n                   |       1 |            28505 |            98.49 |
| pants.n                      |       1 |            28506 |            98.5  |
| pair.n                       |       1 |            28507 |            98.5  |
| painted.a                    |       1 |            28508 |            98.5  |
| pagan.n                      |       1 |            28509 |            98.51 |
| package.v                    |       1 |            28510 |            98.51 |
| oxygen.n                     |       1 |            28511 |            98.51 |
| ownership.n                  |       1 |            28512 |            98.52 |
| overrun.v                    |       1 |            28513 |            98.52 |
| obstruction [act].n          |       1 |            28514 |            98.52 |
| obsession.n                  |       1 |            28515 |            98.53 |
| obscure.a                    |       1 |            28516 |            98.53 |
| obligated.a                  |       1 |            28517 |            98.53 |
| mouth.v                      |       1 |            28518 |            98.54 |
| mourning.n                   |       1 |            28519 |            98.54 |
| mount.v                      |       1 |            28520 |            98.55 |
| mount.n                      |       1 |            28521 |            98.55 |
| motorway.n                   |       1 |            28522 |            98.55 |
| motive.n                     |       1 |            28523 |            98.56 |
| motel.n                      |       1 |            28524 |            98.56 |
| moral.a                      |       1 |            28525 |            98.56 |
| moored.a                     |       1 |            28526 |            98.57 |
| moor.n                       |       1 |            28527 |            98.57 |
| mom.n                        |       1 |            28528 |            98.57 |
| mold.v                       |       1 |            28529 |            98.58 |
| mogul.n                      |       1 |            28530 |            98.58 |
| model.n                      |       1 |            28531 |            98.58 |
| mock.v                       |       1 |            28532 |            98.59 |
| missive.n                    |       1 |            28533 |            98.59 |
| mission.n                    |       1 |            28534 |            98.59 |
| mislead.v                    |       1 |            28535 |            98.6  |
| mishap.n                     |       1 |            28536 |            98.6  |
| miserable.a                  |       1 |            28537 |            98.6  |
| miner.n                      |       1 |            28538 |            98.61 |
| mind-boggling.a              |       1 |            28539 |            98.61 |
| milled.a                     |       1 |            28540 |            98.61 |
| milk.n                       |       1 |            28541 |            98.62 |
| militant.n                   |       1 |            28542 |            98.62 |
| middle.a                     |       1 |            28543 |            98.62 |
| middle of nowhere.n          |       1 |            28544 |            98.63 |
| multitude.n                  |       1 |            28545 |            98.63 |
| mummify.v                    |       1 |            28546 |            98.64 |
| municipality.n               |       1 |            28547 |            98.64 |
| neutrality.n                 |       1 |            28548 |            98.64 |
| novel.n                      |       1 |            28549 |            98.65 |
| notoriety.n                  |       1 |            28550 |            98.65 |
| north-south.n                |       1 |            28551 |            98.65 |
| normal.a                     |       1 |            28552 |            98.66 |
| noon.n                       |       1 |            28553 |            98.66 |
| noodle.n                     |       1 |            28554 |            98.66 |
| nonliving.a                  |       1 |            28555 |            98.67 |
| non-native.a                 |       1 |            28556 |            98.67 |
| noise.n                      |       1 |            28557 |            98.67 |
| nine.num                     |       1 |            28558 |            98.68 |
| nickname.n                   |       1 |            28559 |            98.68 |
| news outlet.n                |       1 |            28560 |            98.68 |
| nervous.a                    |       1 |            28561 |            98.69 |
| mustache.n                   |       1 |            28562 |            98.69 |
| nerve gas.n                  |       1 |            28563 |            98.69 |
| nefarious.a                  |       1 |            28564 |            98.7  |
| needy.a                      |       1 |            28565 |            98.7  |
| neck.n                       |       1 |            28566 |            98.7  |
| necessity.n                  |       1 |            28567 |            98.71 |
| nausea.n                     |       1 |            28568 |            98.71 |
| national.n                   |       1 |            28569 |            98.71 |
| nasty.a                      |       1 |            28570 |            98.72 |
| nascent.a                    |       1 |            28571 |            98.72 |
| naked.a                      |       1 |            28572 |            98.72 |
| nail.n                       |       1 |            28573 |            98.73 |
| mute.a                       |       1 |            28574 |            98.73 |
| pick.n                       |       1 |            28575 |            98.74 |
| pick.v                       |       1 |            28576 |            98.74 |
| picnic.n                     |       1 |            28577 |            98.74 |
| prowl.v                      |       1 |            28578 |            98.75 |
| rationalize.v                |       1 |            28579 |            98.75 |
| rapist.n                     |       1 |            28580 |            98.75 |
| rapidly.adv                  |       1 |            28581 |            98.76 |
| rank.n                       |       1 |            28582 |            98.76 |
| range.v                      |       1 |            28583 |            98.76 |
| ramble.n                     |       1 |            28584 |            98.77 |
| rake.v                       |       1 |            28585 |            98.77 |
| rain.v                       |       1 |            28586 |            98.77 |
| rain event.n                 |       1 |            28587 |            98.78 |
| rage.v                       |       1 |            28588 |            98.78 |
| radiate.v                    |       1 |            28589 |            98.78 |
| quiver.v                     |       1 |            28590 |            98.79 |
| quiver.n                     |       1 |            28591 |            98.79 |
| quiet.n                      |       1 |            28592 |            98.79 |
| quiet.a                      |       1 |            28593 |            98.8  |
| quiet down.v                 |       1 |            28594 |            98.8  |
| quick.a                      |       1 |            28595 |            98.8  |
| question.v                   |       1 |            28596 |            98.81 |
| put together.v               |       1 |            28597 |            98.81 |
| put out.v                    |       1 |            28598 |            98.81 |
| put an end to.v              |       1 |            28599 |            98.82 |
| put (at).v                   |       1 |            28600 |            98.82 |
| purse.n                      |       1 |            28601 |            98.83 |
| purge.n                      |       1 |            28602 |            98.83 |
| punishment [penalty].n       |       1 |            28603 |            98.83 |
| punishment [act].n           |       1 |            28604 |            98.84 |
| pull.n                       |       1 |            28605 |            98.84 |
| ravine.n                     |       1 |            28606 |            98.84 |
| raze.v                       |       1 |            28607 |            98.85 |
| read out.v                   |       1 |            28608 |            98.85 |
| regret.n                     |       1 |            28609 |            98.85 |
| relative.n                   |       1 |            28610 |            98.86 |
| relationship.n               |       1 |            28611 |            98.86 |
| rejuvenation.n               |       1 |            28612 |            98.86 |
| rejection.n                  |       1 |            28613 |            98.87 |
| reject.v                     |       1 |            28614 |            98.87 |
| reiterate.v                  |       1 |            28615 |            98.87 |
| reinvigorate.v               |       1 |            28616 |            98.88 |
| reinforce.v                  |       1 |            28617 |            98.88 |
| reign.v                      |       1 |            28618 |            98.88 |
| rehabilitation.n             |       1 |            28619 |            98.89 |
| regularly.adv                |       1 |            28620 |            98.89 |
| regret.v                     |       1 |            28621 |            98.89 |
| refute.v                     |       1 |            28622 |            98.9  |
| reader.n                     |       1 |            28623 |            98.9  |
| refrain.v                    |       1 |            28624 |            98.9  |
| redirect.v                   |       1 |            28625 |            98.91 |
| recurrence.n                 |       1 |            28626 |            98.91 |
| recount.v                    |       1 |            28627 |            98.92 |
| reconnoitre.v                |       1 |            28628 |            98.92 |
| reconnaissance.n             |       1 |            28629 |            98.92 |
| rebuke.v                     |       1 |            28630 |            98.93 |
| rebuff.v                     |       1 |            28631 |            98.93 |
| reasoning.n                  |       1 |            28632 |            98.93 |
| reasonable.a                 |       1 |            28633 |            98.94 |
| reappraise.v                 |       1 |            28634 |            98.94 |
| realm.n                      |       1 |            28635 |            98.94 |
| puff.v                       |       1 |            28636 |            98.95 |
| prowess.n                    |       1 |            28637 |            98.95 |
| piece together.v             |       1 |            28638 |            98.95 |
| provoke.v                    |       1 |            28639 |            98.96 |
| posture.n                    |       1 |            28640 |            98.96 |
| post.v                       |       1 |            28641 |            98.96 |
| possessor.n                  |       1 |            28642 |            98.97 |
| portent.n                    |       1 |            28643 |            98.97 |
| poor.a                       |       1 |            28644 |            98.97 |
| polite.a                     |       1 |            28645 |            98.98 |
| poisoning.n                  |       1 |            28646 |            98.98 |
| poison.v                     |       1 |            28647 |            98.98 |
| point (to).v                 |       1 |            28648 |            98.99 |
| poem.n                       |       1 |            28649 |            98.99 |
| plunge.v                     |       1 |            28650 |            98.99 |
| plethora.n                   |       1 |            28651 |            99    |
| plentiful.a                  |       1 |            28652 |            99    |
| pleasurable.a                |       1 |            28653 |            99    |
| plead.v                      |       1 |            28654 |            99.01 |
| plea.n                       |       1 |            28655 |            99.01 |
| plantation.n                 |       1 |            28656 |            99.02 |
| plant.v                      |       1 |            28657 |            99.02 |
| plain-clothes man.n          |       1 |            28658 |            99.02 |
| placement.n                  |       1 |            28659 |            99.03 |
| pitchblack.a                 |       1 |            28660 |            99.03 |
| pirate.v                     |       1 |            28661 |            99.03 |
| piracy.n                     |       1 |            28662 |            99.04 |
| pin.v                        |       1 |            28663 |            99.04 |
| piled.a                      |       1 |            28664 |            99.04 |
| pile.v                       |       1 |            28665 |            99.05 |
| pile.n                       |       1 |            28666 |            99.05 |
| pour.v                       |       1 |            28667 |            99.05 |
| practice.n                   |       1 |            28668 |            99.06 |
| praise.n                     |       1 |            28669 |            99.06 |
| prisoner.n                   |       1 |            28670 |            99.06 |
| proverbial.a                 |       1 |            28671 |            99.07 |
| proscribe.v                  |       1 |            28672 |            99.07 |
| prophecy.n                   |       1 |            28673 |            99.07 |
| propel.v                     |       1 |            28674 |            99.08 |
| pronounce.v                  |       1 |            28675 |            99.08 |
| prominent.a                  |       1 |            28676 |            99.08 |
| prolong.v                    |       1 |            28677 |            99.09 |
| proliferate.v                |       1 |            28678 |            99.09 |
| prohibit.v                   |       1 |            28679 |            99.09 |
| progress.v                   |       1 |            28680 |            99.1  |
| professional.a               |       1 |            28681 |            99.1  |
| prize.v                      |       1 |            28682 |            99.11 |
| priority.n                   |       1 |            28683 |            99.11 |
| praise.v                     |       1 |            28684 |            99.11 |
| print.v                      |       1 |            28685 |            99.12 |
